XYDATA,PA,PE,PET,PP,PS,PVC
3558.9856,0.00109091,0.00133354,0.00792707,0.00217526,0.012158,0.00442882
3559.95,0.00118913,0.00177871,0.00847116,0.00272397,0.0127932,0.00516854
3560.9141,0.00134509,0.00237317,0.00921487,0.00345365,0.0136962,0.00615628
3561.8784,0.00161806,0.0032207,0.0102774,0.0044909,0.0150232,0.00758282
3562.8425,0.00204651,0.00440593,0.0117409,0.00593844,0.0168679,0.00959808
3563.8069,0.00260747,0.00589245,0.013525,0.00775016,0.0191172,0.0121321
3564.771,0.00318305,0.0074187,0.0152675,0.00960464,0.0213184,0.0147182
3565.7354,0.00356242,0.00847335,0.0163201,0.0108758,0.0226823,0.0164604
3566.6995,0.00354076,0.00852354,0.0160644,0.0109122,0.0224695,0.0164457
3567.6638,0.00309092,0.00746199,0.0144598,0.00958258,0.0206446,0.0145255
3568.6279,0.00240663,0.00575474,0.0121592,0.00745449,0.0179995,0.0115416
3569.5923,0.00174045,0.00404615,0.0099691,0.00531167,0.0154956,0.00860982
3570.5564,0.00124847,0.00274966,0.00836341,0.00365916,0.013686,0.00641992
3571.5208,0.000969652,0.00197813,0.0074389,0.00264357,0.0126729,0.00514308
3572.4849,0.000870997,0.00165368,0.00707211,0.00218716,0.012301,0.00463577
3573.4492,0.00088843,0.00161726,0.00705484,0.0021146,0.0123223,0.00462729
3574.4133,0.000953389,0.00170595,0.00718024,0.00223486,0.0124994,0.00484324
3575.3777,0.00101227,0.00180797,0.0073008,0.00239834,0.0126724,0.00508942
3576.3418,0.00103731,0.00188411,0.00735343,0.00252665,0.0127814,0.0052858
3577.3062,0.00102503,0.0019476,0.00734476,0.00260553,0.0128412,0.00544048
3578.2703,0.000988082,0.00202793,0.00732069,0.00265924,0.0129009,0.00560061
3579.2346,0.000950268,0.00215499,0.00735171,0.0027374,0.0130303,0.00583184
3580.1987,0.000945991,0.00237191,0.00753512,0.00292031,0.0133297,0.00623297
3581.1631,0.00101679,0.00275178,0.00798936,0.00331966,0.0139301,0.00694709
3582.1272,0.00120031,0.00338935,0.00882386,0.00405378,0.0149587,0.00813269
3583.0916,0.00151425,0.00436027,0.0100893,0.00519768,0.016474,0.00989269
3584.0557,0.00193774,0.0056553,0.0117135,0.00671403,0.0183831,0.0121725
3585.02,0.00239121,0.00709974,0.0134268,0.00837056,0.0203548,0.0146403
3585.9841,0.00273389,0.00831464,0.0147472,0.00970897,0.0218148,0.0166451
3586.9485,0.00282436,0.00886312,0.0151872,0.0102308,0.0222153,0.0174887
3587.9126,0.00263919,0.008605,0.0146702,0.00981058,0.0215266,0.0170158
3588.877,0.00231307,0.00787355,0.0136698,0.00887285,0.02036,0.0158501
3589.8411,0.00202785,0.00719461,0.0128198,0.00803805,0.0194659,0.014871
3590.8054,0.00189263,0.00692213,0.0124965,0.00770082,0.0192461,0.0146152
3591.7695,0.00191858,0.00713006,0.0127346,0.00792141,0.0196813,0.0151343
3592.7339,0.00204731,0.00767225,0.0133284,0.00850781,0.0204702,0.0161208
3593.698,0.00218914,0.00828493,0.0139648,0.00914229,0.0212067,0.0170994
3594.6624,0.00226895,0.00872506,0.0143838,0.00954663,0.0215903,0.0176775
3595.6265,0.00226656,0.00890762,0.0145173,0.00963755,0.0215896,0.0177699
3596.5908,0.00221517,0.00891995,0.0144774,0.0095303,0.0213959,0.0175827
3597.5549,0.00215684,0.00888953,0.0143942,0.00937517,0.0211955,0.0173521
3598.5193,0.00210248,0.00884833,0.0142773,0.00920312,0.0209992,0.0171153
3599.4834,0.00203199,0.00871885,0.0140283,0.00892163,0.0206743,0.0167192
3600.4478,0.00192849,0.00842099,0.0135795,0.0084478,0.0201278,0.0160308
3601.4119,0.0018126,0.00799674,0.0130258,0.00785017,0.0194682,0.0151529
3602.3762,0.00174101,0.00762522,0.0126086,0.00735358,0.0189802,0.0144225
3603.3403,0.00177066,0.00751316,0.0125671,0.00720314,0.0189402,0.0141972
3604.3047,0.0019224,0.00776729,0.012994,0.00751863,0.0194463,0.0146317
3605.2688,0.00216527,0.00832744,0.0137767,0.00822468,0.0203547,0.0155747
3606.2332,0.00242379,0.00897196,0.0146238,0.00906201,0.0213186,0.0165947
3607.1973,0.00261185,0.00941179,0.0151925,0.00969505,0.0219394,0.0171655
3608.1616,0.00268634,0.00946724,0.0152989,0.00991056,0.0220085,0.0169918
3609.1257,0.00267761,0.00919893,0.0150515,0.00976445,0.0216532,0.0162356
3610.0901,0.00265914,0.00884699,0.0147496,0.00951333,0.0212169,0.0153813
3611.0542,0.0026874,0.00864353,0.0146531,0.00940438,0.0209994,0.0148822
3612.0186,0.00277111,0.00868611,0.0148465,0.0095357,0.021111,0.0149302
3612.9827,0.00288461,0.00894288,0.0152654,0.00986656,0.0215029,0.0154629
3613.947,0.00299998,0.00933276,0.0158037,0.01031,0.0220776,0.0163031
3614.9111,0.00310573,0.00979432,0.0163927,0.0108071,0.0227633,0.0172915
3615.8755,0.00319745,0.0102888,0.0169945,0.0113232,0.0234976,0.0183156
3616.8396,0.00325085,0.0107438,0.0175257,0.0117792,0.0241465,0.0192379
3617.804,0.00320599,0.0110016,0.0177974,0.0119952,0.0244545,0.019819
3618.7681,0.0029952,0.0108644,0.0175818,0.0117519,0.0241469,0.0197819
3619.7324,0.0026149,0.0102666,0.0168295,0.0109939,0.023196,0.0190638
3620.6965,0.00216749,0.00940974,0.015821,0.00997645,0.021977,0.0180028
3621.6609,0.00180598,0.00866132,0.0150204,0.00913362,0.0210599,0.0171704
3622.625,0.0016455,0.00833485,0.0148012,0.00882262,0.0208764,0.0170415
3623.5894,0.00173313,0.0085923,0.0153347,0.00921919,0.0216036,0.0178547
3624.5535,0.00206475,0.00947012,0.0166268,0.0103533,0.0232201,0.0196493
3625.5178,0.00259481,0.0108977,0.018533,0.0121284,0.0255282,0.0222747
3626.4819,0.00321255,0.0126244,0.0206664,0.0142305,0.0280455,0.0252504
3627.4463,0.00371068,0.0141024,0.0222868,0.0159922,0.0298884,0.0275868
3628.4104,0.00385229,0.0146229,0.0225612,0.0165726,0.030105,0.0281011
3629.3748,0.0035768,0.0139056,0.0213257,0.0156742,0.0285684,0.0264762
3630.3389,0.00306546,0.0123947,0.0192984,0.0138682,0.026166,0.023637
3631.3032,0.00252935,0.0107199,0.0172774,0.0119178,0.0238218,0.0206864
3632.2673,0.00205499,0.00920749,0.0155842,0.0101983,0.0218756,0.0181047
3633.2317,0.00163656,0.00790634,0.0141858,0.00874793,0.0202622,0.0158873
3634.1958,0.00125376,0.00677502,0.0129619,0.007499,0.0188369,0.0139065
3635.1602,0.000914539,0.00579404,0.0118512,0.00641477,0.0175437,0.0121114
3636.1243,0.000654361,0.00498568,0.0108747,0.00551456,0.0164304,0.0105543
3637.0886,0.000505919,0.00437923,0.0100859,0.00483245,0.015572,0.00931174
3638.0527,0.000469648,0.00397416,0.00951068,0.00437153,0.0149912,0.00840214
3639.0171,0.000511261,0.00373965,0.00913687,0.00410125,0.0146494,0.0077797
3639.9812,0.000587277,0.00364894,0.00895439,0.00399781,0.0145091,0.00740287
3640.9456,0.000678975,0.00371914,0.00900555,0.00409127,0.0146088,0.00731363
3641.9097,0.000811356,0.00402756,0.00940192,0.00448252,0.0150889,0.00766505
3642.874,0.00104555,0.00469775,0.0102991,0.00532231,0.0161552,0.00868485
3643.8381,0.0014543,0.00587233,0.0118554,0.00677557,0.0180152,0.010615
3644.8025,0.00209655,0.00768249,0.014189,0.00898464,0.0208165,0.0136536
3645.7666,0.00298582,0.0101758,0.0172823,0.0119847,0.02453,0.0178315
3646.731,0.00402039,0.013109,0.0207292,0.0154628,0.0286542,0.0226663
3647.6951,0.00488127,0.015616,0.0233835,0.0183812,0.0318111,0.026632
3648.6594,0.00510381,0.0163455,0.0236774,0.0191743,0.0321546,0.0274863
3649.6235,0.00453303,0.0147707,0.0212678,0.017297,0.0293307,0.0245412
3650.5879,0.00355575,0.011962,0.0176898,0.0140612,0.0251909,0.0197763
3651.552,0.00263869,0.00929368,0.0145806,0.0110665,0.0216473,0.0154785
3652.5164,0.00197715,0.00738305,0.0125318,0.00899066,0.0193503,0.0125552
3653.4805,0.00155886,0.00623754,0.0114088,0.00779751,0.0181039,0.0109023
3654.4448,0.00129521,0.00561435,0.0108172,0.00716522,0.0174262,0.0100365
3655.4089,0.00108738,0.0051951,0.010322,0.00669668,0.0168158,0.00939443
3656.3733,0.000863612,0.00469633,0.00960328,0.00606563,0.0159366,0.00853543
3657.3374,0.000604984,0.0039927,0.00860024,0.00516762,0.0147664,0.007337
